Name,Pro Bowl,Career Receptions,Career Yards,Career Touchdowns,Career Games,Adj. Rec. S.,Adj. Yards.S.,Adj.TDS.S,Adj.Rec.G,Adj.Yards.G,Adj.TDS.G,Height (m),Weight (lb),40 Yard Dash,Broad Jump,Vertical Jump,Arm Length,Hand Size,Receptions,Yards,Touchdowns,More Then 3 years in college,Big School,Small School,Major Injury,Off Field Issues
Cedrick Wilson,0,5,46,0,6,2.5,23,0,0.833333333,7.666666667,0,1.88,197,4.55,121,37,31.5,9.75,139,2640,18,0,0,0,0,0
Braxton Berrios,0,6,115,0,16,3,57.5,0,0.375,7.1875,0,1.75,184,4.44,110,36,28,9.25,100,1175,14,1,0,0,0,0
Javon Wims,0,22,218,1,20,11,109,0.5,1.1,10.9,0.05,1.93,215,4.53,113,33.5,31.5,9.25,62,910,8,0,1,0,1,0
Marcell Ateman,0,20,270,1,18,10,135,0.5,1.111111111,15,0.055555556,1.93,216,4.62,121,34,32.875,9,146,2466,13,1,0,0,0,0
Richie James,0,15,295,2,29,7.5,147.5,1,0.517241379,10.17241379,0.068965517,1.78,183,4.48,122,35.5,31.25,9,243,3249,23,0,0,0,1,0
Auden Tate,0,44,610,1,19,22,305,0.5,2.315789474,32.10526316,0.052631579,1.96,228,4.68,112,31,33.75,9.375,65,957,16,0,0,0,0,0
Austin Proehl,0,0,0,0,0,0,0,0,0,0,0,1.78,182,,113,34,28.875,8.5,91,1265,5,1,0,0,1,0
Trey Quinn,0,35,273,2,15,17.5,136.5,1,2.333333333,18.2,0.133333333,1.83,203,4.55,116,33.5,30.75,10.125,136,1512,13,0,0,0,0,0
Corey Davis,0,142,1867,6,42,47.33333333,622.3333333,2,3.380952381,44.45238095,0.142857143,1.88,209,,,,33,9.125,331,5278,52,1,0,0,0,0
Mike Williams,0,103,1760,12,41,34.33333333,586.6666667,4,2.512195122,42.92682927,0.292682927,1.93,218,4.53,121,32.5,33.375,9.375,177,2727,21,1,1,0,1,0
John Ross,0,49,716,10,24,16.33333333,238.6666667,3.333333333,2.041666667,29.83333333,0.416666667,1.8,188,4.22,,37,31.5,8.75,114,1729,22,1,1,0,1,0
Zay Jones,0,110,1184,9,46,36.66666667,394.6666667,3,2.391304348,25.73913043,0.195652174,1.85,201,4.45,133,36.5,32.5,9,399,4279,23,1,0,0,0,0
Curtis Samuel,0,108,1236,11,28,36,412,3.666666667,3.857142857,44.14285714,0.392857143,1.8,196,4.31,119,37,31.25,9.5,172,1286,15,0,1,0,0,0
Juju Smith-Schuster,1,211,2895,17,42,70.33333333,965,5.666666667,5.023809524,68.92857143,0.404761905,1.85,215,4.54,120,32.5,32.875,10.5,213,3092,25,0,1,0,0,0
Cooper Kupp,0,196,2596,21,39,65.33333333,865.3333333,7,5.025641026,66.56410256,0.538461539,1.88,204,4.62,,31,31.5,9.5,428,6464,73,1,0,0,0,0
Taywan Taylor,0,53,697,2,32,17.66666667,232.3333333,0.666666667,1.65625,21.78125,0.0625,1.85,203,4.5,132,33.5,32.625,9.25,253,4234,41,1,0,0,0,0
ArDarius Stewart,0,6,82,0,15,2,27.33333333,0,0.4,5.466666667,0,1.85,204,4.49,,34,32.5,9.375,129,1713,12,0,1,0,0,0
Carlos Henderson,0,0,0,0,0,0,0,0,0,0,0,1.78,199,4.46,131,36,31.375,9.125,147,2878,28,0,0,0,0,1
Chris Godwin,1,179,2700,17,46,59.66666667,900,5.666666667,3.891304348,58.69565217,0.369565217,1.85,209,4.42,126,36,31.625,9.125,154,2421,18,0,1,0,0,0
